timestamp,symbol,qty,current_price,market_value,unrealized_pl,imv,combined_market_value,pnl_pct
2026-08-31T09:36:51.308630-04:00,NONE,,,,,,,
2026-08-31T09:37:51.448978-04:00,NONE,,,,,,,
2026-08-31T09:38:51.331343-04:00,NONE,,,,,,,
2026-08-31T09:39:51.330467-04:00,NONE,,,,,,,
2026-08-31T09:40:51.376183-04:00,NONE,,,,,,,
2026-08-31T09:41:51.361588-04:00,NONE,,,,,,,
2026-08-31T09:42:51.392090-04:00,NONE,,,,,,,
2026-08-31T09:43:51.409531-04:00,NONE,,,,,,,
2026-08-31T09:44:51.438268-04:00,NONE,,,,,,,
2026-08-31T09:45:51.452846-04:00,NONE,,,,,,,
2026-08-31T09:46:51.589759-04:00,NONE,,,,,,,
2026-08-31T09:47:51.526870-04:00,NONE,,,,,,,
2026-08-31T09:48:51.527560-04:00,NONE,,,,,,,
2026-08-31T09:49:51.549082-04:00,NONE,,,,,,,
2026-08-31T09:50:51.666623-04:00,NONE,,,,,,,
2026-08-31T09:51:51.661508-04:00,NONE,,,,,,,
2026-08-31T09:52:51.599979-04:00,NONE,,,,,,,
2026-08-31T09:53:51.590920-04:00,NONE,,,,,,,
2026-08-31T09:54:19.956336-04:00,NONE,,,,,,,
2026-08-31T09:55:20.000824-04:00,SPY260904C00766000,-100,4.39,-43900.0,-700.0,,,
2026-08-31T09:55:20.000824-04:00,SPY260904C00776000,100,0.66,6600.0,0.0,,,
2026-08-31T09:55:20.000824-04:00,SPY260904P00756000,100,1.02,10200.0,-300.0,,,
2026-08-31T09:55:20.000824-04:00,SPY260904P00766000,-100,3.49,-34900.0,500.0,,,
2026-08-31T09:55:20.000824-04:00,TOTAL,,,-62000.0,,61500.0,-500.0,-0.81
2026-08-31T09:56:20.003198-04:00,SPY260904C00766000,-100,4.44,-44400.0,-1200.0,,,
2026-08-31T09:56:20.003198-04:00,SPY260904C00776000,100,0.67,6700.0,100.0,,,
2026-08-31T09:56:20.003198-04:00,SPY260904P00756000,100,0.99,9900.0,-600.0,,,
2026-08-31T09:56:20.003198-04:00,SPY260904P00766000,-100,3.43,-34300.0,1100.0,,,
2026-08-31T09:56:20.003198-04:00,TOTAL,,,-62100.0,,61500.0,-600.0,-0.98
